Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,_Data Science_R_NLP_Artificial Intelligence_Data Scientist_Machine Learning_Cloud Infrastructure_Deep Learning,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-2-to-7-years-141122904743
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,10-15 Yrs,_Data Science_LSTM_DNN_Artificial Intelligence_PySpark_Machine Learning_Deep Learning_R,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-10-to-15-years-071122903801
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,_Data Science_Artificial Intelligence_Machine Learning_Cloud Infrastructure_tensor flow_Deep Learning_R_NLP,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-2-to-7-years-071122902696
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,_Artificial Intelligence_Data Science_R_NLP_Data Scientist_Machine Learning_Cloud Infrastructure_Deep Learning,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-2-to-7-years-011122908174
Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,_Data Science_R_Artificial Intelligence_Machine Learning_Deep Learning_Cloud Infrastructure_Python,https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-2-to-7-years-141122909271
Associate - Data Science,Themathcompany,Bangalore/Bengaluru,Not disclosed,Experience or certifications with visualization tools (Tableau / Qlik/PowerBI etc) Bach...,2-5 Yrs,_Software development methodologies_SAS_data science_Analytical_Machine learning_Agile_SPSS_big data,https://www.naukri.com/job-listings-associate-data-science-themathcompany-bangalore-bengaluru-2-to-5-years-181022501746
Principal Engineer Data Science II AI models II Machine Learning,People Resources,Bangalore/Bengaluru,"30,00,000 - 45,00,000 PA.",8+ Years experience in developing AI models,8-13 Yrs,_Data Processing_Machine Learning_database programming_Java_ETL_R_Python_Tableau,https://www.naukri.com/job-listings-principal-engineer-data-science-ii-ai-models-ii-machine-learning-people-resources-bangalore-bengaluru-8-to-13-years-211122001171
"Manager , Data Science",Visa,Mumbai,Not disclosed,"Bachelors degree in Economics, Finance, Computer Science, Statistics, or related quanti...",5-10 Yrs,_Impala_Python_Hive_Hadoop_IT Skills_Quality Assurance_Machine Learning_Cloud,https://www.naukri.com/job-listings-manager-data-science-visa-inc-mumbai-5-to-10-years-031122501296
Associate Manager Data Science,Merck Sharp & Dohme (MSD),Pune,Not disclosed,This role involves working with our partners in different Therapeutic areas (eg Oncolog...,2-4 Yrs,_CVS_Claims_Machine learning_Javascript_Agile_Oncology_Scrum_Epidemiology,https://www.naukri.com/job-listings-associate-manager-data-science-msd-pharmaceuticals-private-limited-pune-2-to-4-years-031122501291
Specialist - Data Science - GMO,Dr Reddys,Hyderabad/Secunderabad,Not disclosed,BE / BTech (preferably in Computer Science) or MCA or Statistics / Applied Mathematics ...,2-6 Yrs,_Computer science_advanced analytics_SAS_data science_Analytical_Machine learning_Javascript_Analytics,https://www.naukri.com/job-listings-specialist-data-science-gmo-dr-reddys-laboratories-ltd-hyderabad-secunderabad-2-to-6-years-100622500319
Data Science Lead,Dr Reddys,Hyderabad/Secunderabad,Not disclosed,"Develope advance understanding of business obstacles, create solutions based on analyti...",2-5 Yrs,_Pilot_deep learning_Prototype_Simulation_data science_Machine learning_model development_Operations,https://www.naukri.com/job-listings-data-science-lead-dr-reddys-laboratories-ltd-hyderabad-secunderabad-2-to-5-years-100622500218
Job | Hiring For AVP | Data Science   | Citi,Citicorp Finance,Pune,Not disclosed,"We have an opportunity at Bangalore/ Pune with the USPBA Team, your profile looks inter...",8-11 Yrs,_SAS_Machine Learning_Deep Learning_Python,https://www.naukri.com/job-listings-hiring-for-avp-data-science-citi-citicorp-services-india-pvt-ltd-pune-8-to-11-years-311022002880
Data Science Analyst (With Python Coding background),Ophir Solutions  ,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",Not disclosed,"Collecting large amounts of data using analytical, statistical, and programmable skills...",3-8 Yrs,_data science_data analyst_python coding_statistical data_Data Wrangling_Python Data_Data Visualization_Data Analytics,https://www.naukri.com/job-listings-data-science-analyst-with-python-coding-background-ophir-solutions-mumbai-mumbai-suburban-mumbai-all-areas-3-to-8-years-081122009184
Data Science/Analyst,Myfuturejobs,New Delhi,Not disclosed,Proficient in debugging software using Python IDE Proficient in usage of all Data Analy...,2-5 Yrs,_Computer science_Data analysis_Usage_Debugging_System programming_Data collection_Hypothesis Testing_hr solutions,https://www.naukri.com/job-listings-data-science-analyst-myfuturejob-new-delhi-2-to-5-years-111022502680
Data Science/Data Analyst,Findoc Investmart,Gurgaon/Gurugram,Not disclosed,4 -7 Years of experience creating and using advanced machine learning algorithms and st...,4-7 Yrs,_Text mining_Google Analytics_Simulation_Coding_Neural networks_Network analysis_Machine learning_Javascript,https://www.naukri.com/job-listings-data-science-data-analyst-findoc-finvest-private-limited-gurgaon-gurugram-4-to-7-years-130122500318
AI & Data Science Senior Engineer,Wasoko,Bangalore/Bengaluru,Not disclosed,"You should be self-driven and motivated with the desire to work in a fast-paced, result...",2-5 Yrs,_Mining_Machine learning_Agile_Data structures_System design_Open source_SQL_Python,https://www.naukri.com/job-listings-ai-data-science-senior-engineer-wasoko-bangalore-bengaluru-2-to-5-years-280922501776
AVP - Data Science -BFSI,Allegis Services India Pvt. Ltd.,Hybrid - Kolkata,Not disclosed,"At least Masters degree in Mathematics, Statistics, Economics, Engineering, Computer Sc...",7-12 Yrs,_Compliance Risk_machine learning_python_R_sas_GCP_credit risk_AWS,https://www.naukri.com/job-listings-avp-data-science-bfsi-allegis-services-india-pvt-ltd-kolkata-7-to-12-years-201022608639
"Engineer, Data Science",Micron Semiconductor,Hyderabad/Secunderabad,Not disclosed,Exposure to the semiconductor industry is a plus but not a requirementExperience in the...,5-7 Yrs,_data cleansing_Semiconductor_Operational excellence_Analytical_Javascript_SSIS_Teradata_Recruitment,https://www.naukri.com/job-listings-engineer-data-science-micron-semiconductor-asia-pte-ltd-hyderabad-secunderabad-5-to-7-years-311022501756
"Associate Data Science Engineer, SMAI",Micron Semiconductor,Hyderabad/Secunderabad,Not disclosed,Exposure to the semiconductor industry is a plus but not a requirementExperience in the...,5-8 Yrs,_Semiconductor_Neural networks_Analytical_Artificial Intelligence_Machine learning_Javascript_SQL_Python,https://www.naukri.com/job-listings-associate-data-science-engineer-smai-micron-semiconductor-asia-pte-ltd-hyderabad-secunderabad-5-to-8-years-311022501724
Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",4-6 Yrs,_Data Science_data scientists_Logistic Regression_Decision Tree_Linear Regressions_data processing_presentation skills_Random Forests,https://www.naukri.com/job-listings-analyst-data-science-python-machine-learning-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-6-years-091122913757
Analyst - Data Science - Python/Machine Learning/Analytics - KPO,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",4-9 Yrs,_Data Science_python_R_data processing_MySQL_statistical modeling_machine learning_sql,https://www.naukri.com/job-listings-analyst-data-science-python-machine-learning-analytics-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-091122913480
Business Analyst - Data Science,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,Requirement Gathering Traceability understanding in Data Science work Systems Gap Analy...,4-6 Yrs,_Data Science_Project Management_Gap Analysis_IT Skills_Testing_requirement gathering_brd_fsd,https://www.naukri.com/job-listings-business-analyst-data-science-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-6-years-011122907697
Lead Data Science Analyst - Python/ Spark,Huquo Consulting Pvt. Ltd,Gurgaon/Gurugram,Not disclosed,Qualifications - B Tech or MTech Preferred - Knowledge of Insurance industry At least 2...,6-10 Yrs,_data science_Spark_Python_NLP_Data Management_Neural Networks_Machine Learning_Deep Learning,https://www.naukri.com/job-listings-lead-data-science-analyst-python-spark-huquo-consulting-pvt-ltd-gurgaon-gurugram-6-to-10-years-011122908749
Data Analyst/ Data Science,Anlage Infotech (I) Pvt. Ltd.   ,"Mumbai, Hyderabad/Secunderabad","16,00,000 - 18,00,000 PA.","Institute by manipulating and interpreting data, identifying trends and suggestingKnowl...",3-5 Yrs,_data science_Tableau_python_Data Analysis_SPSS,https://www.naukri.com/job-listings-data-analyst-data-science-anlage-infotech-i-pvt-ltd-mumbai-hyderabad-secunderabad-3-to-5-years-281022011414
Senior Data Science Manager,Inspire Careers ,Chennai,Not disclosed,5 years of experience in delivering scalable machine learning-based solutions in a big ...,5-10 Yrs,_Data analysis_data science_Debugging_Machine learning_Conceptualization_Continuous improvement_Monitoring_SQL,https://www.naukri.com/job-listings-senior-data-science-manager-inspire-careers-chennai-5-to-10-years-220922501871
Senior Business Executive - Data Science,dentsu international,Bangalore/Bengaluru,Not disclosed,"Builds audiences for use in insights, plans and potentially direct activation Compiles ...",1-3 Yrs,_Usage_data science_Research_Senior Business Executive,https://www.naukri.com/job-listings-senior-business-executive-data-science-dentsu-international-bangalore-bengaluru-1-to-3-years-190922500375
AVP - Data Visualization & Power BI - Life Sciences,TalentCo Search Pvt Ltd,Pune,Not disclosed,AVP- Data Visualisation(Power BI) - He Engagement Manager (Senior Specialist) will play...,8-13 Yrs,_Data Visualization_R_Power BI_Engagement management_AVP_Tableau_Business development_Python,https://www.naukri.com/job-listings-avp-data-visualization-power-bi-life-sciences-talentco-search-pvt-ltd-pune-8-to-13-years-301122911831
Data Science Consultant/Trainer,Beeja Academy (Satvat Group of Companies),Chennai(Adyar),"2,50,000 - 3,75,000 PA.",* To take online/offline classes for students * To train students on latest technologie...,2-3 Yrs,_Data Science_Machine Learning_Python,https://www.naukri.com/job-listings-data-science-consultant-trainer-beeja-academy-satvat-group-of-companies-chennai-2-to-3-years-221122913352
Data Science Consultant/Trainer,Beeja Academy (Satvat Group of Companies),Chennai(Adyar),"3,50,000 - 8,00,000 PA.",* To take online/offline classes for students * To train students on the latest technol...,2-7 Yrs,_Data Science_Machine Learning_Python,https://www.naukri.com/job-listings-data-science-consultant-trainer-beeja-academy-satvat-group-of-companies-chennai-2-to-7-years-221122913350
Data science Manager-Model Risk Control,Paypal,Chennai,Not disclosed,Bachelor s or Master s degree in quantitative science or engineering field (Computer Sc...,5-9 Yrs,_remediation_Data analysis_data science_Risk control_Machine learning_Risk management_Financial services_SQL,https://www.naukri.com/job-listings-data-science-manager-model-risk-control-paypal-holdings-inc-chennai-5-to-9-years-031122500333
Data Science Engineer,Tuebora,Bangalore/Bengaluru,Not disclosed,"Well versed in machine learning, implement production deployed AI use-cases and modelsS...",1-3 Yrs,_analysis_machine learning_NLP_Python_IT Skills_Data analysis_data science,https://www.naukri.com/job-listings-data-science-engineer-tuebora-software-private-limited-bangalore-bengaluru-1-to-3-years-260522502259
Principal Data Science Engineer,Sabre,Bangalore/Bengaluru,Not disclosed,"Experience developing customer choice models, price elasticity estimation and market po...",10-20 Yrs,_Order management_C++_data science_Data modeling_Javascript_Perl_Data mining_Information technology,https://www.naukri.com/job-listings-principal-data-science-engineer-sabre-holdings-bangalore-bengaluru-10-to-20-years-140922501314
