,Job Title,Company,Location,Requirements,Years of Experience,Tags,Link
124,Job | Hiring For AVP | Data Science   | Citi,Citicorp Finance,Pune,"We have an opportunity at Bangalore/ Pune with the USPBA Team, your profile looks inter...",8-11 Yrs," SAS, Machine Learning, Deep Learning, Python",https://www.naukri.com/job-listings-hiring-for-avp-data-science-citi-citicorp-services-india-pvt-ltd-pune-8-to-11-years-311022002880
125,Data Science Analyst (With Python Coding background),Ophir Solutions  ,Multiple,"Collecting large amounts of data using analytical, statistical, and programmable skills...",3-8 Yrs," data science, data analyst, python coding, statistical data, Data Wrangling, Python Data, Data Visualization, Data Analytics",https://www.naukri.com/job-listings-data-science-analyst-with-python-coding-background-ophir-solutions-mumbai-mumbai-suburban-mumbai-all-areas-3-to-8-years-081122009184
126,Data Science/Analyst,Myfuturejobs,New Delhi,Proficient in debugging software using Python IDE Proficient in usage of all Data Analy...,2-5 Yrs," Computer science, Data analysis, Usage, Debugging, System programming, Data collection, Hypothesis Testing, hr solutions",https://www.naukri.com/job-listings-data-science-analyst-myfuturejob-new-delhi-2-to-5-years-111022502680
127,Data Science/Data Analyst,Findoc Investmart,Gurgaon,4 -7 Years of experience creating and using advanced machine learning algorithms and st...,4-7 Yrs," Text mining, Google Analytics, Simulation, Coding, Neural networks, Network analysis, Machine learning, Javascript",https://www.naukri.com/job-listings-data-science-data-analyst-findoc-finvest-private-limited-gurgaon-gurugram-4-to-7-years-130122500318
128,AI & Data Science Senior Engineer,Wasoko,Bangalore,"You should be self-driven and motivated with the desire to work in a fast-paced, result...",2-5 Yrs," Mining, Machine learning, Agile, Data structures, System design, Open source, SQL, Python",https://www.naukri.com/job-listings-ai-data-science-senior-engineer-wasoko-bangalore-bengaluru-2-to-5-years-280922501776
129,AVP - Data Science -BFSI,Allegis Services India Pvt. Ltd.,Hybrid,"At least Masters degree in Mathematics, Statistics, Economics, Engineering, Computer Sc...",7-12 Yrs," Compliance Risk, machine learning, python, R, sas, GCP, credit risk, AWS",https://www.naukri.com/job-listings-avp-data-science-bfsi-allegis-services-india-pvt-ltd-kolkata-7-to-12-years-201022608639
130,"Engineer, Data Science",Micron Semiconductor,Hyderabad,Exposure to the semiconductor industry is a plus but not a requirementExperience in the...,5-7 Yrs," data cleansing, Semiconductor, Operational excellence, Analytical, Javascript, SSIS, Teradata, Recruitment",https://www.naukri.com/job-listings-engineer-data-science-micron-semiconductor-asia-pte-ltd-hyderabad-secunderabad-5-to-7-years-311022501756
131,"Associate Data Science Engineer, SMAI",Micron Semiconductor,Hyderabad,Exposure to the semiconductor industry is a plus but not a requirementExperience in the...,5-8 Yrs," Semiconductor, Neural networks, Analytical, Artificial Intelligence, Machine learning, Javascript, SQL, Python",https://www.naukri.com/job-listings-associate-data-science-engineer-smai-micron-semiconductor-asia-pte-ltd-hyderabad-secunderabad-5-to-8-years-311022501724
132,Analyst - Data Science - Python/Machine Learning/Analytics,Huquo Consulting Pvt. Ltd,Gurgaon,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",4-6 Yrs," Data Science, data scientists, Logistic Regression, Decision Tree, Linear Regressions, data processing, presentation skills, Random Forests",https://www.naukri.com/job-listings-analyst-data-science-python-machine-learning-analytics-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-6-years-091122913757
133,Analyst - Data Science - Python/Machine Learning/Analytics - KPO,Huquo Consulting Pvt. Ltd,Gurgaon,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",4-9 Yrs," Data Science, python, R, data processing, MySQL, statistical modeling, machine learning, sql",https://www.naukri.com/job-listings-analyst-data-science-python-machine-learning-analytics-kpo-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-9-years-091122913480
134,Business Analyst - Data Science,Huquo Consulting Pvt. Ltd,Gurgaon,Requirement Gathering Traceability understanding in Data Science work Systems Gap Analy...,4-6 Yrs," Data Science, Project Management, Gap Analysis, IT Skills, Testing, requirement gathering, brd, fsd",https://www.naukri.com/job-listings-business-analyst-data-science-huquo-consulting-pvt-ltd-gurgaon-gurugram-4-to-6-years-011122907697
135,Lead Data Science Analyst - Python/ Spark,Huquo Consulting Pvt. Ltd,Gurgaon,Qualifications - B Tech or MTech Preferred - Knowledge of Insurance industry At least 2...,6-10 Yrs," data science, Spark, Python, NLP, Data Management, Neural Networks, Machine Learning, Deep Learning",https://www.naukri.com/job-listings-lead-data-science-analyst-python-spark-huquo-consulting-pvt-ltd-gurgaon-gurugram-6-to-10-years-011122908749
136,Data Analyst/ Data Science,Anlage Infotech (I) Pvt. Ltd.   ,Multiple,"Institute by manipulating and interpreting data, identifying trends and suggestingKnowl...",3-5 Yrs," data science, Tableau, python, Data Analysis, SPSS",https://www.naukri.com/job-listings-data-analyst-data-science-anlage-infotech-i-pvt-ltd-mumbai-hyderabad-secunderabad-3-to-5-years-281022011414
137,Senior Data Science Manager,Inspire Careers ,Chennai,5 years of experience in delivering scalable machine learning-based solutions in a big ...,5-10 Yrs," Data analysis, data science, Debugging, Machine learning, Conceptualization, Continuous improvement, Monitoring, SQL",https://www.naukri.com/job-listings-senior-data-science-manager-inspire-careers-chennai-5-to-10-years-220922501871
138,Senior Business Executive - Data Science,dentsu international,Bangalore,"Builds audiences for use in insights, plans and potentially direct activation Compiles ...",1-3 Yrs," Usage, data science, Research, Senior Business Executive",https://www.naukri.com/job-listings-senior-business-executive-data-science-dentsu-international-bangalore-bengaluru-1-to-3-years-190922500375
139,AVP - Data Visualization & Power BI - Life Sciences,TalentCo Search Pvt Ltd,Pune,AVP- Data Visualisation(Power BI) - He Engagement Manager (Senior Specialist) will play...,8-13 Yrs," Data Visualization, R, Power BI, Engagement management, AVP, Tableau, Business development, Python",https://www.naukri.com/job-listings-avp-data-visualization-power-bi-life-sciences-talentco-search-pvt-ltd-pune-8-to-13-years-301122911831
140,Data Science Consultant/Trainer,Beeja Academy (Satvat Group of Companies),Chennai(Adyar),* To take online/offline classes for students * To train students on latest technologie...,2-3 Yrs," Data Science, Machine Learning, Python",https://www.naukri.com/job-listings-data-science-consultant-trainer-beeja-academy-satvat-group-of-companies-chennai-2-to-3-years-221122913352
141,Data Science Consultant/Trainer,Beeja Academy (Satvat Group of Companies),Chennai(Adyar),* To take online/offline classes for students * To train students on the latest technol...,2-7 Yrs," Data Science, Machine Learning, Python",https://www.naukri.com/job-listings-data-science-consultant-trainer-beeja-academy-satvat-group-of-companies-chennai-2-to-7-years-221122913350
142,Data science Manager-Model Risk Control,Paypal,Chennai,Bachelor s or Master s degree in quantitative science or engineering field (Computer Sc...,5-9 Yrs," remediation, Data analysis, data science, Risk control, Machine learning, Risk management, Financial services, SQL",https://www.naukri.com/job-listings-data-science-manager-model-risk-control-paypal-holdings-inc-chennai-5-to-9-years-031122500333
143,Data Science Engineer,Tuebora,Bangalore,"Well versed in machine learning, implement production deployed AI use-cases and modelsS...",1-3 Yrs," analysis, machine learning, NLP, Python, IT Skills, Data analysis, data science",https://www.naukri.com/job-listings-data-science-engineer-tuebora-software-private-limited-bangalore-bengaluru-1-to-3-years-260522502259
144,Principal Data Science Engineer,Sabre,Bangalore,"Experience developing customer choice models, price elasticity estimation and market po...",10-20 Yrs," Order management, C++, data science, Data modeling, Javascript, Perl, Data mining, Information technology",https://www.naukri.com/job-listings-principal-data-science-engineer-sabre-holdings-bangalore-bengaluru-10-to-20-years-140922501314
145,ML & AI Engineer - Data Science Practice,Limendo,Bangalore,Bachelor s degree in computer science software engineering or information certification...,2-9 Yrs," IT Skills, Python, Testing, Data Science, Machine Learning, Artificial Intelligence, Big Data, C++",https://www.naukri.com/job-listings-ml-ai-engineer-data-science-practice-limendo-bangalore-bengaluru-2-to-9-years-121022500185
146,Data Analyst / Data Science,INFOWEB ,Pune,We are looking to hire a data analyst to join our data team. You will take responsibili...,0-1 Yrs," Java, Text Analytics, FRD, Python, SQL, C++, Healthcare Analytics, Use Cases",https://www.naukri.com/job-listings-data-analyst-data-science-infoweb-pune-0-to-1-years-091122007508
147,Senior Software Engineer - Data Science,LogiNext,Mumbai,Analysis - Should be able to perform Exploratory Data Analysis and get actionable insig...,4-7 Yrs," IT Skills, Java, Python, Testing, Machine Learning, Cloud computing, Data analysis, Team management",https://www.naukri.com/job-listings-senior-software-engineer-data-science-loginext-solutions-mumbai-4-to-7-years-140922502289
148,Senior Engineer - Data Science,CNH Industrial,Gurgaon,"Knowledge of statistical methods, and Machine Learning are essential requirements for t...",5-10 Yrs," ISO, data science, Industrial products, QMS, Machine learning, Telematics, Forecasting, Information technology",https://www.naukri.com/job-listings-senior-engineer-data-science-cnh-industrial-gurgaon-gurugram-5-to-10-years-230922502565
149,Lead Instructor - Data Science,Scaler Academy,Bangalore,Create and execute a road map for launching Scaler Data Science course. Help in designi...,1-6 Yrs," Power house, Health insurance, B2C, data science, Machine learning, Instructor, Process excellence, Product sales",https://www.naukri.com/job-listings-lead-instructor-data-science-scaler-academy-bangalore-bengaluru-1-to-6-years-151122501042
150,Data Science,Virtuous Transactional Analytics,Multiple,Masters degree is a plus4 yrs experience as a Machine Learning Engineer or similar role,2-4 Yrs," Computer science, Statistical analysis, Application management, data science, Consulting, Machine learning, Healthcare, healthcare analytics",https://www.naukri.com/job-listings-data-science-virtuous-transactional-analytics-pvt-ltd-noida-bangalore-bengaluru-2-to-4-years-150722501271
151,Data Science SeniorTechnical Manager,Gcc Services,Bangalore,About AB InBevWe are the worlds leading brewer bringing people together for a better wo...,8-13 Yrs," python, machine learning, data science, Machine Learning Algorithms, Logistic Regression, Regression, numpy, Regression Analysis",https://www.naukri.com/job-listings-data-science-seniortechnical-manager-abinbev-gcc-services-private-limited-bangalore-bengaluru-8-to-13-years-091122909267
152,Manager Data Science,Tredence,Multiple,"Graduate degree in a quantitative field (CS, statistics, applied mathematics, machine l...",7-14 Yrs," Data analysis, Data management, Machine learning, Workflow, Predictive modeling, Test cases, data visualization, Data mining",https://www.naukri.com/job-listings-manager-data-science-tredence-analytics-solutions-private-limited-chennai-gurgaon-gurugram-bangalore-bengaluru-7-to-14-years-270922501592
153,Technical Manager - Data Sciences,Trane Technologies,Bangalore,"Bachelors Degree in Engineering (preferably in mechanical discipline) In this role, you...",3-7 Yrs," IT Skills, Python, Data Science, Machine Learning, Tableau, HVAC, Time series analysis, Formulation",https://www.naukri.com/job-listings-technical-manager-data-sciences-trane-technologies-bangalore-bengaluru-3-to-7-years-080922501409
154,Manager Data Science,Tredence,Multiple,"Bachelors /Masters /PhD degree in a quantitative field (CS, Machine learning, Mathemati...",6-10 Yrs," Cloud computing, Computer vision, Data management, Simulation, Analytical, Consulting, Machine learning, Data mining",https://www.naukri.com/job-listings-manager-data-science-tredence-analytics-solutions-private-limited-chennai-gurgaon-gurugram-bangalore-bengaluru-6-to-10-years-280922501550
155,MACHINE LEARNING / DATA SCIENCE TRAINER,Ethnotech Academy,Bangalore,"Data Science, Machine Learning, Python, Training, Trainer, Tableau, Deep learning, NLP,...",2-5 Yrs," Training, deep learning, tableau, data science, Coding, Analytical, Machine learning, Subject Matter Expert",https://www.naukri.com/job-listings-machine-learning-data-science-trainer-ethnotech-academy-bangalore-bengaluru-2-to-5-years-270922500482
156,Data Science- AI Product,Spectral Consultants,Bangalore,Bachelors with 3-7 yrs Masters degree with 5-7 yrs,3-7 Yrs," Version control, GIT, data science, spark, Conceptualization, Design development, Deployment, Product design",https://www.naukri.com/job-listings-data-science-ai-product-spectral-consultants-bangalore-bengaluru-3-to-7-years-130922500951
157,Data Science,Cognizer,Bangalore,"Strong in problem solving, algorithms and data structures Proficient in Python Hands on...",2-4 Yrs," Python, Machine learning, GCP, Natural Language Processing, structures, Deep Learning Model, Deep learning, AWS",https://www.naukri.com/job-listings-data-science-cognizer-india-private-limited-bangalore-bengaluru-2-to-4-years-080922501421
158,Data Science Manager,Innominds Software,Multiple,Experience across a range of algorithms and methods in data preparation and analysis Ed...,10-20 Yrs," Python, SparkML, H2O, analytics, FlinkML, R, Learning, Theano",https://www.naukri.com/job-listings-data-science-manager-innominds-software-pvt-ltd-hyderabad-secunderabad-pune-bangalore-bengaluru-10-to-20-years-190922501638
159,Pre Sales-Data Science,Absolutdata,Multiple,Relevant presales experience in a product or service based organization dealing with sa...,6-11 Yrs," Data Science, Presales",https://www.naukri.com/job-listings-pre-sales-data-science-absolutdata-research-analytics-solutions-pvt-lt-noida-pune-gurgaon-gurugram-6-to-11-years-091122012487
160,Data Science Engineer,EOK Technologies Info Systems Pvt. Ltd.    ,Multiple,Should have a Bachelor / Masters degree in Computer Science or Engineering or Statistic...,3-8 Yrs," R, Machine Learning, Python, IT Skills, Java, Testing, Data Science, Cloud",https://www.naukri.com/job-listings-data-science-engineer-eok-technologies-info-systems-pvt-ltd-hyderabad-secunderabad-bangalore-bengaluru-3-to-8-years-091122909198
161,Senior Quant Researcher - Data Science,Squarepoint Technologies India,Remote,Research statistical techniques such as Machine Learning and NLP to extract value from ...,1-4 Yrs," Data analysis, Financial markets, data science, Machine learning, Programming, Mathematics, Investment management, Python",https://www.naukri.com/job-listings-senior-quant-researcher-data-science-squarepoint-technologies-india-private-limited-remote-1-to-4-years-071122503093
162,Senior Data Science Manager,Inspire Analytics,Temp. WFH,"Work from home is flexible but individuals must be eligible to work in Chennai, India w...",5-7 Yrs," python, Unix, Architectural Patterns, Data Cleansing, machine learning, Jupyter Notebook, data engineering, ETL Testing",https://www.naukri.com/job-listings-senior-data-science-manager-inspire-analytics-private-limited-chennai-5-to-7-years-040622000022
163,Senior Associate- Data Science,Catenon,Remote,"Bachelor / Master of Engineering, BSc / MSc Honors, PhD or equivalent 5 years experienc...",5-8 Yrs," SAS, data science, Talent acquisition, Analytical, Client engagement, SPSS, Executive search, Management",https://www.naukri.com/job-listings-senior-associate-data-science-cataenon-remote-5-to-8-years-190722501144
164,"Senior Manager - Data Science, Pan India",The Smart Cube,Remote,"Relevant experience of 10+ years in advanced machine learning, advanced analytical mode...",10-20 Yrs," Computer science, Telecom, Operations research, Team management, data domain, Project management, Analytical, Machine learning",https://www.naukri.com/job-listings-senior-manager-data-science-pan-india-smart-cube-india-private-limited-remote-10-to-20-years-150322501203
165,Consultant - Data Science/Machine Learning Algorithms - KPO,PYLON Management Consulting Private Limited,Multiple,"Having minimum 4+ years of experience Strong programming experience in Python / R, atle...",4-7 Yrs," Python, NLP, Machine learning, R, IT Skills",https://www.naukri.com/job-listings-consultant-data-science-machine-learning-algorithms-kpo-pylon-management-consulting-private-limited-pune-gurgaon-gurugram-bangalore-bengaluru-4-to-7-years-111122912962
166,Lead - Data Science - KPO,Huquo Consulting Pvt. Ltd,Multiple,"BTech, MTech or MCA degree from a reputed university Good power point presentation skil...",5-10 Yrs," Data Science, Communication Skills, R, Logistic Regression, Data Management, Statistical Modeling, Data Processing, Powerpoint",https://www.naukri.com/job-listings-lead-data-science-kpo-huquo-consulting-pvt-ltd-hyderabad-secunderabad-pune-chennai-gurgaon-gurugram-bangalore-bengaluru-5-to-10-years-011122908287
167,Data Science Manager/Architect,TRH Consultancy Services,Multiple,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,8-13 Yrs," Data Science, machine learning, Python, R, data mining, statistical modeling, Neural Network, NLP",https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-ncr-8-to-13-years-311022907694
168,Data Science Manager/Architect,TRH Consultancy Services,Multiple,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,8-13 Yrs," Python, data mining, R, machine learning, statistical modeling, Data Science, NLP, Data Scientist",https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-kolkata-mumbai-nagpur-hyderabad-secunderabad-pune-chennai-coimbatore-bangalore-bengaluru-delhi-8-to-13-years-311022907632
169,Data Science Manager / Architect,TRH Consultancy Services,Multiple,Minimum 5+ years of hands on experience using statistical computer languages (Python / ...,7-12 Yrs," Data Science, Presentation, Python, data mining, R, machine learning, statistical modeling, AZURE",https://www.naukri.com/job-listings-data-science-manager-architect-trh-consultancy-services-noida-kolkata-mumbai-nagpur-pune-chennai-coimbatore-delhi-ncr-bangalore-bengaluru-7-to-12-years-311022907602
170,Consultant/AM/Manager - Deep Learning/NLP - Data Science,PYLON Management Consulting Private Limited,Multiple,Good understanding of how to apply predictive and machine learning techniques like logi...,5-10 Yrs," Data Science, NLP, Python, SQL, SVM, RNN, Azure, LSTM",https://www.naukri.com/job-listings-consultant-am-manager-deep-learning-nlp-data-science-pylon-management-consulting-private-limited-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-5-to-10-years-141122908564
171,Data Scientist - Team AI Science,CROPIN TECHNOLOGY SOLUTIONS,Bangalore,The team is looking for a Data Scientist who is passionate about solving problems in Sa...,3-6 Yrs," Cloud computing, Prototype, Version control, Image processing, Machine learning, Principal, Remote sensing, Python",https://www.naukri.com/job-listings-data-scientist-team-ai-science-cropin-technology-solutions-pvt-ltd-bangalore-bengaluru-3-to-6-years-170922500272
172,Data Scientist | Bengaluru,Hindco Recruitment Consultants,Multiple,Proficient with querying relational databases,0-2 Yrs," Data Scientist, Data Analytics, Decision Making, Data analysis, Business transformation, Cloud Services, Mathematics, Supply chain",https://www.naukri.com/job-listings-data-scientist-bengaluru-hindco-recruitment-consultants-magadi-mysore-mysuru-bangalore-bengaluru-0-to-2-years-021222009415
173,Senior Associate Director - Data Science - IIT/ IIM / NIT / XLRI,Huquo Consulting Pvt. Ltd,Gurgaon,"Bachelors/ Masters degree in economics, mathematics, actuarial sciences, computer scien...",7-12 Yrs," Data Science, analytics, Data analysis, Artificial Intelligence, Data Management, Hadoop, Data Modeling, Machine Learning",https://www.naukri.com/job-listings-senior-associate-director-data-science-iit-iim-nit-xlri-huquo-consulting-pvt-ltd-gurgaon-gurugram-7-to-12-years-091122913601
174,Senior Vice President  - Data Science Team -  IIT/IIM/XLRI/NIT,Huquo Consulting Pvt. Ltd,Gurgaon,Senior Vice President - Analytics - Data Science Team - Insurance - IIT/IIM/XLRI/NITRol...,8-13 Yrs," Insurance, HIVE, project management, team management, Hadoop, problem solving, Spark, Python",https://www.naukri.com/job-listings-senior-vice-president-data-science-team-iit-iim-xlri-nit-huquo-consulting-pvt-ltd-gurgaon-gurugram-8-to-13-years-011122908689
175,Data Science Trainer,D. M. Net Technologies,Ahmedabad,"Candidate has to provide the training on Python , Python Data Analytics , NumPy , Panda...",1-5 Yrs," Data Science, Matplotlib, Python Data Analytics, Machine Learning, Python, NLP, Artificial Intelligence, Pandas",https://www.naukri.com/job-listings-data-science-trainer-d-m-net-technologies-ahmedabad-1-to-5-years-091122005461
176,"Python Data science Trainer- TGC Preet Vihar,  New Delhi",TGC,Multiple,1. Conduct Classroom and Online training sessions by providing practical use cases and ...,2-5 Yrs," python, Machine Learning, Data Science, R language, Power Bi, Natural Language Processing, Neural Networks, Advanced Excel",https://www.naukri.com/job-listings-python-data-science-trainer-tgc-preet-vihar-new-delhi-total-graphics-classes-private-limited-new-delhi-delhi-ncr-2-to-5-years-090921006202
177,Data Science Lead / Manager with UK based eCommerce Company,Contrado,Ahmedabad,See detailed JD : https://www.contrado.co.uk/data-science-manager -*-*-*-*-*-*-*-*-*-- ...,5-10 Yrs," Machine Learning, SQL, Python, data analytics, Data Engineering, Power Bi, Artificial Intelligence, Tableau",https://www.naukri.com/job-listings-data-science-lead-manager-with-uk-based-ecommerce-company-contrado-imaging-india-pvt-ltd-ahmedabad-5-to-10-years-111122009336
178,Data Science Engineer,Consilium Software,New Delhi,One should be familiar with regression practices Good communication skills,2-5 Yrs," IT Skills, Java, Python, Data Science, Machine Learning, Data modeling, Artificial Intelligence, Data structures",https://www.naukri.com/job-listings-data-science-engineer-consilium-software-pvt-ltd-new-delhi-2-to-5-years-140922502324
179,Principal Engineer - Data Science,LogiNext,Mumbai,Adapting and enhancing machine learning techniques based on physical intuition about th...,8-10 Yrs," IT Skills, Java, Python, Testing, Machine Learning, Cloud computing, Data analysis, SAS",https://www.naukri.com/job-listings-principal-engineer-data-science-loginext-solutions-mumbai-8-to-10-years-140922502288
180,Data Science Engineer,Anicalls,Hyderabad,Education: Bachelors degree Candidate must have: Experience in data processing tools su...,5-10 Yrs," cloudera, big data, SQL Server, Tableau, hadoop, HUE, XML, Talend",https://www.naukri.com/job-listings-data-science-engineer-anicalls-hyderabad-secunderabad-5-to-10-years-260322501088
181,Data Science Engineer,QiO,Pune,Bachelor s Degree in an Engineering discipline is a must AI\ML\Analytics Certification ...,10-15 Yrs," IT Skills, Data Science, Cloud, Big Data, Supply chain management, Networking, Artificial Intelligence, Machine learning",https://www.naukri.com/job-listings-data-science-engineer-qio-technologies-pune-10-to-15-years-250622500191
182,Software Engineer - Data Science,LogiNext,Mumbai,"Bachelors degree or higher in Computer Science, Information Technology, Information Sys...",2-3 Yrs," Python, Tableau, Excel, data mining, Java, Hadoop, communication, Analytical",https://www.naukri.com/job-listings-software-engineer-data-science-loginext-solutions-mumbai-2-to-3-years-140922502290
183,Data Science Engineer,Alliance Recruitment Agency,Pune,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etcExperi...",2-10 Yrs," Usage, Statistical analysis, data science, Focus, Machine learning, Data collection, Programming, Data mining",https://www.naukri.com/job-listings-data-science-engineer-alliance-recruitment-agency-pune-2-to-10-years-120922500967
184,Data Science Engineer,Alliance Recruitment Agency,Kolkata,Consulting with internal clients on how data can be optimised with further data / analy...,5-10 Yrs," Analytical, Consulting, Machine learning, Market research, Natural language processing, SPSS, Continuous improvement, Powerpoint",https://www.naukri.com/job-listings-data-science-engineer-alliance-recruitment-agency-kolkata-5-to-10-years-120922500966
185,Data Science Consultant,Kanta  Hr Executive  ,Multiple,"Experience with common data science toolkits, such as R, Weka, NumPy, MatLab, etc Exper...",0-3 Yrs," Data Science, Machine Learning, Deep Learning, MatLab, NumPy, R, testing, visualisation",https://www.naukri.com/job-listings-data-science-consultant-kanta-hr-executive-hyderabad-secunderabad-bangalore-bengaluru-0-to-3-years-061122001918
186,Trainee-freshers-Machine Learning & Data Science with Python,Aficionado Technologies Pvt Ltd,Bangalore,Internship with Placement Trainees willing to make their career into DATA Scientist & M...,0-0 Yrs," Machine Learning, Deep Learning, Python, PCA, LR kNN, LR, Numpy, DT&EL",https://www.naukri.com/job-listings-trainee-freshers-machine-learning-data-science-with-python-aficionado-technologies-pvt-ltd-bangalore-bengaluru-0-to-0-years-011122016976
187,Data Science Consultant - Part Time,Intechhub Solutions,Permanent Remote,The ideal candidate should be proficient at using large data sets to find opportunities...,5-10 Yrs," Pattern Recognition, Data Visualisation, data science, Artificial Intelligence, machine learning, deep learning, predictive modeling",https://www.naukri.com/job-listings-data-science-consultant-part-time-intechhub-solutions-salem-5-to-10-years-081122008367
188,Immediate Joiner || Data Science L1@  Noida/Gurgaon,Xceedance,Multiple,Qualifications Engineering Graduate or MCAKey Requirement for the Position :Experienced...,2-5 Yrs," Data Science, Python, SQL, VBA, IT Skills, .Net, nlp, computer vision",https://www.naukri.com/job-listings-immediate-joiner-data-science-l1-noida-gurgaon-xceedance-consulting-india-pvt-ltd-noida-faridabad-gurgaon-gurugram-2-to-5-years-101122011406
189,Cluster Manager - Data Science,Pharmaace Analytics,Pune,Minimum 4 years of pharma / life science consulting job experience Graduate or Postgrad...,4-5 Yrs," Logistic regression, Claims, Project management, Analytical, Pharma, Consulting, Life sciences, Data quality",https://www.naukri.com/job-listings-cluster-manager-data-science-pharmaace-pune-4-to-5-years-091122501009
190,"Assistant Manager, Data Science",GXO Logistics,Mumbai,Strong technical and Management experience Bachelor s degree in Engineering 2 years of ...,2-12 Yrs," GIS, data science, Hadoop, Supply chain solutions, Manager Technology, Management, Pentaho, Analytics",https://www.naukri.com/job-listings-assistant-manager-data-science-gxo-logistics-mumbai-2-to-12-years-091122500501
191,Data Science Faculty,Greycampus Edutech,Hyderabad,Any stream of graduationThe candidate must have extremely high standards with respect t...,2-3 Yrs," Data Science, Power Bi, Python",https://www.naukri.com/job-listings-data-science-faculty-greycampus-edutech-pvt-ltd-hyderabad-secunderabad-2-to-3-years-111122007609
192,Data Science - Associate,Merilytics,Hybrid,"4 years of experience in applying concepts in Data Science, Machine Learning, Algorithm...",2-6 Yrs," data science, deep learning, nlp, neural networks, statistical modeling, Spark, machine learning, Random Forest",https://www.naukri.com/job-listings-data-science-associate-meritus-intelytics-private-limited-hyderabad-secunderabad-2-to-6-years-091122012329
193,Data Science- Manager,Merilytics,Hybrid,"Should have 4-8 years of experience in applying concepts in Data Science, Machine Learn...",4-8 Yrs," Data Science, Machine Learning, Predictive Modeling, NLP, Algorithms, spark, Advanced Analytics, Neural Networks",https://www.naukri.com/job-listings-data-science-manager-meritus-intelytics-private-limited-hyderabad-secunderabad-4-to-8-years-071022015643
194,Research Associate - Data Science,Recodeminds,Hyderabad,The ideal Data Science research associate would be expected to have a bachelor s / mast...,1-3 Yrs," Computer science, E-learning, SAN, Data analysis, French, Analytical, Research Associate, Internship",https://www.naukri.com/job-listings-research-associate-data-science-recodeminds-pvt-ltd-hyderabad-secunderabad-1-to-3-years-300622501608
195,Associate Vice President - Data Science,LogiNext,Mumbai,Adapting and enhancing machine learning techniques based on physical intuition about th...,11-14 Yrs," Cloud computing, Data analysis, SAS, Data modeling, PHP, Perl, Apache, Data mining",https://www.naukri.com/job-listings-associate-vice-president-data-science-loginext-solutions-mumbai-11-to-14-years-230922500390
196,Data Science Professional,Extentia ,Pune,Over 4 years of experience in Data Science Ability to gather domain specific knowledge ...,4-9 Yrs," Deep Learning, PyTorch, Numpy, R, Scikit, Data Science, Theano, Matplotlib",https://www.naukri.com/job-listings-data-science-professional-extentia-information-technology-pune-4-to-9-years-281022502443
197,Data Science Manager,Seven Consultancy (HR Solution),Hyderabad,You should have an excellent grasp of core machine learning techniques and a product-fo...,5-8 Yrs," Product management, Computer science, C++, Automation, SAS, Consulting, Machine learning, Ruby",https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-hyderabad-secunderabad-5-to-8-years-280322501324
198,Data Science Manager,Seven Consultancy (HR Solution),Chennai,Be able to take the initiative and work with minimum guidance and requirementsMust have...,3-8 Yrs," data science, Workflow management, OOPS, Machine learning, Infrastructure, Programming, Data structures, Apache",https://www.naukri.com/job-listings-data-science-manager-seven-consultancy-hr-solution-chennai-3-to-8-years-280322501321
199,Assistant Professor of Data Science,KreaUniversity,Chennai,The faculty member will be responsible for teaching Data Science and Information System...,1-4 Yrs," Publishing, Executive, data science, Consultancy, Assistant Professor, Research, Supervision, Teaching",https://www.naukri.com/job-listings-assistant-professor-of-data-science-krea-chennai-1-to-4-years-270922502379
200,Data Science,Mindstix Software Labs,Pune,"Develop Big data solutions for Fortune-500 customers Work on Big Data Ingestion, Pre-pr...",5-10 Yrs," IT Skills, Machine Learning, Cloud, Big Data, Tableau, Azure, Microstrategy, SAN",https://www.naukri.com/job-listings-data-science-mindstix-software-labs-pvt-pune-5-to-10-years-190922500526
201,Data Science Manager,Digilytics,Gurgaon,Understand the DigilyticsTM vision and create a data science capability development roa...,7-10 Yrs," Django, Machine learning, HTML, HTTP, microsoft, Analytics, Financial services, SQL",https://www.naukri.com/job-listings-data-science-manager-digilytics-gurgaon-gurugram-7-to-10-years-140722501225
202,Data Science - Trainer,Prime Search,Gurgaon,This role is best suited for: - Person with 3+ years experience of delivering data scie...,3-9 Yrs," Training, deep learning, data science, Machine learning, data visualization, Business intelligence, Analytics, Python",https://www.naukri.com/job-listings-data-science-trainer-prime-search-gurgaon-gurugram-3-to-9-years-140622501981
